feature,family,mask,model,n,squared_error_sum,truth_energy_sum,rmse_sd,r2
TAG52:4-FA16:0,TAG,3,population_mean,1539,1576.1654052193749,1576.1654052193749,1.0120025006002535,0.0
TAG52:4-FA16:0,TAG,3,random_group_score_ridge,1539,422.08578522878526,1576.1654052193749,0.5236981663891832,0.7322071758261701
TAG52:4-FA16:1,TAG,1,all_visible_ridge,1539,2.7854864622923508,1586.4918973172348,0.04254330410342637,0.9982442479113807
TAG52:4-FA16:1,TAG,1,family_score_ridge,1539,626.4118646034968,1586.4918973172348,0.6379853079449943,0.605159115112556
TAG52:4-FA16:1,TAG,1,population_mean,1539,1586.4918973172348,1586.4918973172348,1.0153122340589529,0.0
TAG52:4-FA16:1,TAG,1,random_group_score_ridge,1539,299.84035649088736,1586.4918973172348,0.44139329617067163,0.811004167750293
TAG52:4-FA18:0,TAG,4,all_visible_ridge,1539,23.296788436647866,1541.1851137958993,0.12303501257288321,0.9848838480023542
TAG52:4-FA18:0,TAG,4,family_score_ridge,1539,142.04181394498008,1541.1851137958993,0.30380071734228487,0.9078359811073345
TAG52:4-FA18:0,TAG,4,population_mean,1539,1541.1851137958993,1541.1851137958993,1.0007096617040703,0.0
TAG52:4-FA18:0,TAG,4,random_group_score_ridge,1539,124.19392139110127,1541.1851137958993,0.2840735902412972,0.9194166098028194
TAG52:4-FA18:1,TAG,1,all_visible_ridge,1539,2.1608622142875524,1564.0210077908882,0.03747090891787405,0.9986183931011645
TAG52:4-FA18:1,TAG,1,family_score_ridge,1539,416.90719325045086,1564.0210077908882,0.5204756117350257,0.7334388789065474
TAG52:4-FA18:1,TAG,1,population_mean,1539,1564.0210077908882,1564.0210077908882,1.0080962080954405,0.0
TAG52:4-FA18:1,TAG,1,random_group_score_ridge,1539,180.1491726113596,1564.0210077908882,0.3421344656709899,0.8848166541792092
TAG52:4-FA18:2,TAG,4,all_visible_ridge,1539,1.637559267057268,1584.5157833482883,0.0326196429961918,0.9989665238527338
TAG52:4-FA18:2,TAG,4,family_score_ridge,1539,649.1292786707324,1584.5157833482883,0.6494508494827866,0.5903295596721431
TAG52:4-FA18:2,TAG,4,population_mean,1539,1584.5157833482883,1584.5157833482883,1.0146797070793334,0.0
TAG52:4-FA18:2,TAG,4,random_group_score_ridge,1539,356.4312354734553,1584.5157833482883,0.48124759045898924,0.7750535278858064
TAG52:4-FA18:3,TAG,1,all_visible_ridge,1539,2.520265371520457,1549.5235226852058,0.040467262468842566,0.9983735223540505
TAG52:4-FA18:3,TAG,1,family_score_ridge,1539,320.1114675485561,1549.5235226852058,0.4560697907422194,0.7934129667203584
TAG52:4-FA18:3,TAG,1,population_mean,1539,1549.5235226852058,1549.5235226852058,1.0034131235346762,0.0
TAG52:4-FA18:3,TAG,1,random_group_score_ridge,1539,181.12239066335607,1549.5235226852058,0.34305737567370564,0.8831109124761882
TAG52:4-FA20:0,TAG,3,all_visible_ridge,1539,15.000987642024377,1578.1365352565765,0.09872806306548819,0.9904944931525931
TAG52:4-FA20:0,TAG,3,family_score_ridge,1539,543.5506763419751,1578.1365352565765,0.5942931306253639,0.6555743662232599
TAG52:4-FA20:0,TAG,3,population_mean,1539,1578.1365352565765,1578.1365352565765,1.012635100848356,0.0
TAG52:4-FA20:0,TAG,3,random_group_score_ridge,1539,452.37233663805245,1578.1365352565765,0.5421615442980935,0.7133503175854776
TAG52:4-FA20:2,TAG,3,all_visible_ridge,1539,30.49884970118354,1559.9761440840932,0.14077398994517248,0.9804491563432912
TAG52:4-FA20:2,TAG,3,family_score_ridge,1539,267.82449936731945,1559.9761440840932,0.41716305664957437,0.8283150031601496
TAG52:4-FA20:2,TAG,3,population_mean,1539,1559.9761440840932,1559.9761440840932,1.0067917973700038,0.0
TAG52:4-FA20:2,TAG,3,random_group_score_ridge,1539,231.36695749982357,1559.9761440840932,0.38773174335899097,0.8516855796947679
TAG52:4-FA20:3,TAG,1,all_visible_ridge,1539,7.67707757912569,1585.6781080767769,0.07062828401112316,0.9951584892671331
TAG52:4-FA20:3,TAG,1,family_score_ridge,1539,329.352226775507,1585.6781080767769,0.46260571331100503,0.7922956588112522
TAG52:4-FA20:3,TAG,1,population_mean,1539,1585.6781080767769,1585.6781080767769,1.0150517990209966,0.0
TAG52:4-FA20:3,TAG,1,random_group_score_ridge,1539,247.27581962841214,1585.6781080767769,0.40084042609491216,0.8440567361251359
TAG52:4-FA20:4,TAG,2,all_visible_ridge,1539,7.024549462565883,1571.8845601153832,0.06756004458849287,0.9955311289131498
TAG52:4-FA20:4,TAG,2,family_score_ridge,1539,545.0749687742288,1571.8845601153832,0.595125842603278,0.6532347332591537
TAG52:4-FA20:4,TAG,2,population_mean,1539,1571.8845601153832,1571.8845601153832,1.0106272732590833,0.0
TAG52:4-FA20:4,TAG,2,random_group_score_ridge,1539,334.18756779090097,1571.8845601153832,0.465989182270134,0.7873968761634951
TAG52:5-FA14:0,TAG,4,all_visible_ridge,1539,17.205258787916293,1563.233339254994,0.1057331801529716,0.9889937999939817
TAG52:5-FA14:0,TAG,4,family_score_ridge,1539,299.8109279924392,1563.233339254994,0.4413716348759398,0.8082110197730794
TAG52:5-FA14:0,TAG,4,population_mean,1539,1563.233339254994,1563.233339254994,1.0078423286208862,0.0
TAG52:5-FA14:0,TAG,4,random_group_score_ridge,1539,200.67205386250205,1563.233339254994,0.36109721418379065,0.8716301342714847
TAG52:5-FA16:0,TAG,3,all_visible_ridge,1539,4.201746426316538,1549.1618526892635,0.05225112069841914,0.9972877292201441
TAG52:5-FA16:0,TAG,3,family_score_ridge,1539,522.7240490927799,1549.1618526892635,0.582796494324115,0.6625762194018925
TAG52:5-FA16:0,TAG,3,population_mean,1539,1549.1618526892635,1549.1618526892635,1.003296014761042,0.0
TAG52:5-FA16:0,TAG,3,random_group_score_ridge,1539,379.48220072692766,1549.1618526892635,0.4965653315300373,0.7550403141749414
TAG52:5-FA16:1,TAG,4,all_visible_ridge,1539,3.6709661806303853,1589.9107550981098,0.048839463191174305,0.9976910866419015
TAG52:5-FA16:1,TAG,4,family_score_ridge,1539,749.2156243133518,1589.9107550981098,0.6977247085237623,0.5287687551575061
