assay_metabolite_id,mapping_status,mapping_reason,human_gem_base_id,display_name,matched_by,candidate_human_gem_base_ids,hmdb_id,chebi_id,mapping_origin
C36:1 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C38:6 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C38:5 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C38:4 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C38:2 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C40:6 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C14:0 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:1 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:0 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:2 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:1 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:0 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C22:1 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C22:0 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C24:1 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C24:0 SM,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C34:2 DAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C34:1 DAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C36:2 DAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C36:1 DAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C14:0 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:1 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:0 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:3 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:2 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:1 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:0 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C20:5 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C20:4 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C20:3 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C22:6 CE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C46:2 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C46:1 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C46:0 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C48:3 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C48:2 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C48:1 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C48:0 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C50:3 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C50:2 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C50:1 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C50:0 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C52:5 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C52:4 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
