sample_id,subject_id,mask,repeat,fold,model,hidden_features,mean_squared_error,truth_energy,precision_at_k,ndcg_at_k
04102019_C5_batch21-__241__ZOZOW1T-73_1323,ZOZOW1T,0,0,0,population_mean,103,0.5584759101380489,0.5584759101380489,0.0,0.4136707157079425
04152019_C5_batch22-__1423__ZOZOW1T-79_1409,ZOZOW1T,0,0,0,population_mean,103,1.8734609576920604,1.8734609576920604,0.0,0.23273649043150535
04172019_C5_batch23-__1120__ZOZOW1T-76_1432,ZOZOW1T,0,0,0,population_mean,103,0.4966065322927593,0.4966065322927593,0.0,0.36504670881287393
04172019_C5_batch23-__632__ZOZOW1T-8 _1426,ZOZOW1T,0,0,0,population_mean,103,2.971642771329207,2.971642771329207,0.0,0.39571337101952003
04172019_C5_batch23-__856__ZOZOW1T-XXI_1441,ZOZOW1T,0,0,0,population_mean,103,0.5416572922681137,0.5416572922681137,0.3333333333333333,0.7277854855353185
04222019_C5_batch24-711_ZOZOW1T-42,ZOZOW1T,0,0,0,population_mean,103,0.48315138314368833,0.48315138314368833,0.0,0.2648019922231651
02202019_C5_batch04-ZYLJ7R7-02_221,ZYLJ7R7,0,0,0,population_mean,103,0.5525869601393085,0.5525869601393085,0.3333333333333333,0.40044704417281624
03112019_C5_batch12-__316__ZYLJ7R7-07_774,ZYLJ7R7,0,0,0,population_mean,103,0.584338339848495,0.584338339848495,0.3333333333333333,0.4925361833752262
03292019_C5_batch16-__201__ZYLJ7R7-01_1070,ZYLJ7R7,0,0,0,population_mean,103,1.2879089102535841,1.2879089102535841,0.0,0.19155394477885695
03292019_C5_batch16-__662__ZYLJ7R7-06_1029,ZYLJ7R7,0,0,0,population_mean,103,0.21260850153549865,0.21260850153549865,0.3333333333333333,0.26712609968154827
04032019_C5_batch18-New_985_NewZYLJ7R7-03,ZYLJ7R7,0,0,0,population_mean,103,0.9842582419328426,0.9842582419328426,0.3333333333333333,0.2777003629000541
02182019_C5_batch03-ZNQOVZV-03_121,ZNQOVZV,0,0,0,population_mean,103,0.6562289267367128,0.6562289267367128,0.3333333333333333,0.5062816259985039
02222019_C5_batch05-ZJNO47T_281,ZJNO47T,0,0,0,population_mean,103,0.4075040109752959,0.4075040109752959,0.3333333333333333,0.40233433823077547
02222019_C5_batch05-ZPQA8W2-02_237,ZPQA8W2,0,0,0,population_mean,103,4.061708242553669,4.061708242553669,0.6666666666666666,0.7052666688419658
